theme,type,cond,message
littering,how,control,"When you have trash on the go, wait until you find a bin to toss it. You can also encourage others to do the same."
littering,why,control,"Less littering and trash can make your neighborhood more pleasant. This means a more pleasant environment for yourself, your children, and your grandchildren."
parking,risk,control,Unpaid parking tickets can damage your vehicle registration record. You may also get late fees and lose a lot of money. 
parking,how,control,"Set an alarm on your phone to remind you when to move your car from the parking spot. If you get a parking ticket, pay the ticket immediately."
parking,why,control,"If you help keep restricted parking areas clear, you can save someone's life in an emergency. You will also save money by preventing yourself from getting expensive parking tickets. "
recycle,risk,control,Not recycling increases waste and harms the environment. It can pollute the water you drink and air you breathe.
recycle,how,control,Get a recycling bin that's easy to store so it will get more use. Use an easy-to-store recycling bin in and around your house. 
recycle,why,control,Recycling will reduce waste and benefit the environment. This means that water you drink and air you breathe will be cleaner.
seatbelt,risk,control,It's very dangerous and illegal not to wear your seatbelt. Nearly two thirds of people killed in car crashes weren't wearing seatbelts. 
seatbelt,how,control,Always check that you are wearing your seatbelt before you start the car. Also make sure your passengers are wearing their seatbelts. 
seatbelt,why,control,Wearing your seatbelt can save your life in a crash. It can also save you from getting a ticket. 
sunscreen,risk,control,"If your skin is regularly exposed to the sun, it will age more quickly. You are also more likely to get skin cancer."
sunscreen,how,control,Make a habit of applying sunscreen every morning before you leave the house. You can make it a part of your daily routine just like brushing teeth.
sunscreen,why,control,Protecting your skin from the sun will help you look younger for longer. It will also protect you from getting skin cancer. 
